time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
290735.0,-0.09,-0.09,0.0,24.75,25.25,-2.24,0.0
290760.0,-0.19,0.09,0.09,24.75,25.25,-2.24,0.0
290785.0,-0.28,-0.19,-0.19,24.75,25.25,-2.24,0.0
290810.0,-0.19,0.09,-0.09,24.75,25.25,1.12,0.0
290835.0,0.0,-0.09,0.0,24.75,25.25,1.12,0.0
290860.0,-0.09,0.09,0.09,24.75,25.25,-1.12,0.0
290885.0,-0.19,-0.09,0.09,24.75,25.25,-2.24,0.0
290910.0,-0.19,0.56,-0.09,24.75,25.25,-2.24,0.0
290935.0,-0.19,-0.09,-0.09,24.75,25.25,-2.24,0.0
290960.0,0.46,-0.09,0.0,24.75,25.25,-1.12,0.0
290985.0,0.09,0.0,0.09,24.75,25.25,-2.24,0.0
291010.0,-0.09,-0.09,-0.09,24.75,25.25,0.0,0.0
291035.0,-0.19,0.0,-0.09,24.75,25.25,-2.24,0.0
291060.0,-0.19,-0.09,-0.09,24.75,25.25,-1.12,0.0
291085.0,-0.19,0.09,0.09,24.75,25.25,1.12,0.0
291110.0,0.09,-0.19,-0.09,24.75,25.25,-2.24,0.0
291135.0,-0.09,0.09,-0.09,24.75,25.0,-2.24,0.0
291160.0,-0.19,-0.09,-0.09,24.75,25.0,-3.36,0.0
291185.0,-0.09,0.37,0.09,24.75,25.0,-2.24,0.0
291210.0,-0.19,-0.09,0.19,24.75,25.0,2.24,0.0
291235.0,0.09,-0.19,-0.19,24.75,25.0,-1.12,0.0
291260.0,0.09,0.0,-0.09,24.75,25.0,-1.12,0.0
291285.0,-0.09,-0.09,0.0,24.75,25.0,-2.24,0.0
291310.0,-0.09,0.0,0.19,24.75,25.0,2.24,0.0
291335.0,-0.19,-0.09,-0.09,24.75,25.0,0.0,0.0
291360.0,-0.19,0.19,-0.09,24.75,25.0,-1.12,0.0
291385.0,0.28,-0.09,0.0,24.5,25.0,0.0,0.0
291410.0,0.0,0.19,0.0,24.5,25.0,-3.36,0.0
291435.0,-0.19,-0.09,0.37,24.5,25.0,-1.12,0.0
291460.0,-0.19,0.19,-0.19,24.5,25.0,2.24,0.0
291485.0,-0.28,-0.09,-0.09,24.5,25.0,-5.6,0.0
291510.0,-0.19,-0.09,-0.09,24.5,25.0,-2.24,0.0
291535.0,0.0,0.0,0.28,24.5,25.0,-2.24,0.0
291560.0,-0.09,-0.09,-0.09,24.5,25.0,-2.24,0.0
291585.0,-0.19,0.0,-0.09,24.5,25.0,-2.24,0.0
291610.0,-0.09,-0.09,-0.09,24.5,25.0,-2.24,0.0
291635.0,-0.19,0.19,0.0,24.75,25.0,2.24,0.0
291660.0,0.46,-0.19,0.56,24.75,25.0,-3.36,0.0
291685.0,0.09,0.28,-0.19,24.75,25.0,-2.24,0.0
291710.0,-0.09,-0.09,-0.09,24.75,25.0,-2.24,0.0
291735.0,-0.19,0.0,0.0,24.75,25.0,-2.24,0.0
291760.0,-0.19,0.0,0.19,24.75,25.0,0.0,0.0
291785.0,-0.19,-0.19,-0.09,24.75,25.0,-8.96,0.0
291810.0,0.09,0.0,-0.19,24.75,25.0,2.24,0.0
291835.0,-0.09,-0.09,-0.09,24.75,25.0,0.0,0.0
291860.0,-0.19,0.0,0.0,24.75,25.0,-1.12,0.0
291885.0,-0.19,-0.19,0.56,24.75,25.25,-2.24,0.0
291910.0,-0.19,0.19,-0.09,24.75,25.25,-1.12,0.0
291935.0,0.0,-0.09,-0.09,24.75,25.25,-2.24,0.0
291960.0,0.09,0.46,0.0,24.75,25.25,-2.24,0.0
291985.0,-0.09,-0.09,0.19,24.75,25.25,0.0,0.0
292010.0,-0.19,-0.09,-0.19,24.75,25.25,-3.36,0.0
292035.0,-0.19,-0.09,-0.09,24.75,25.25,-2.24,0.0
292060.0,-0.19,-0.09,-0.09,24.75,25.25,-2.24,0.0
292085.0,0.37,0.0,0.09,24.75,25.25,-2.24,0.0
292110.0,0.0,-0.19,0.19,24.75,25.25,-2.24,0.0
292135.0,-0.19,0.09,-0.19,24.5,25.0,2.24,0.0
292160.0,-0.19,-0.09,-0.09,24.5,25.0,-2.24,0.0
292185.0,-0.19,0.09,0.0,24.5,25.0,-2.24,0.0
292210.0,-0.19,-0.09,0.09,24.5,25.0,1.12,0.0
292235.0,0.0,0.56,-0.19,24.5,25.0,-4.48,0.0
292260.0,-0.19,-0.09,-0.09,24.5,25.0,-3.36,0.0
292285.0,-0.19,-0.09,0.0,24.5,25.0,-2.24,0.0
292310.0,-0.19,-0.09,0.09,24.5,25.0,3.36,0.0
292335.0,-0.19,-0.19,-0.09,24.5,25.0,0.0,0.0
292360.0,0.37,0.0,-0.09,24.5,25.0,-1.12,0.0
292385.0,0.09,-0.19,-0.09,24.75,25.25,3.36,0.0
292410.0,-0.19,0.09,0.0,24.75,25.25,3.36,0.0
292435.0,-0.19,-0.09,0.28,24.75,25.25,-1.12,0.0
292460.0,-0.19,0.09,-0.09,24.75,25.25,1.12,0.0
292485.0,-0.19,-0.09,-0.09,24.75,25.25,-1.12,0.0
292510.0,0.19,0.56,0.0,24.75,25.25,-1.12,0.0
292535.0,-0.09,-0.09,0.19,24.75,25.25,-1.12,0.0
292560.0,-0.19,-0.19,-0.19,24.75,25.25,-1.12,0.0
292585.0,-0.19,-0.09,-0.09,24.75,25.25,0.0,0.0
292610.0,-0.19,-0.19,0.0,24.75,25.25,-2.24,0.0
