time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
894515.0,0.09,-0.19,-0.19,22.5,23.0,-1.12,0.0
894540.0,-0.19,0.09,-0.19,22.5,23.0,-1.12,0.0
894565.0,-0.19,-0.09,-0.19,22.5,23.0,-3.36,0.0
894590.0,-0.19,0.19,0.09,22.5,23.0,-4.48,0.0
894615.0,-0.19,-0.19,-0.28,22.5,23.0,3.36,0.0
894640.0,-0.19,-0.09,-0.28,22.5,23.0,-4.48,0.0
894665.0,0.19,-0.19,-0.09,22.25,22.25,-2.24,0.0
894690.0,0.09,-0.19,0.0,22.25,22.25,-3.36,0.0
894715.0,-0.19,-0.09,-0.28,22.25,22.25,-1.12,0.0
894740.0,-0.19,-0.28,-0.19,22.25,22.25,-1.12,0.0
894765.0,-0.19,0.19,-0.19,22.25,22.25,-3.36,0.0
894790.0,-0.28,-0.19,-0.09,22.25,22.25,-3.36,0.0
894815.0,-0.19,0.19,0.65,22.25,22.25,-2.24,0.0
894840.0,0.0,-0.19,-0.28,22.25,22.25,-10.08,0.0
894865.0,-0.09,-0.19,-0.19,22.25,22.25,-3.36,0.0
894890.0,-0.09,-0.19,0.0,22.25,22.25,-3.36,0.0
894915.0,-0.19,-0.19,0.09,22.0,22.5,-3.36,0.0
894940.0,-0.28,-0.09,-0.19,22.0,22.5,-2.24,0.0
894965.0,-0.28,-0.19,-0.19,22.0,22.5,-3.36,0.0
894990.0,0.65,0.09,-0.19,22.0,22.5,-3.36,0.0
895015.0,0.0,-0.19,0.09,22.0,22.5,-2.24,0.0
895040.0,-0.09,0.28,-0.19,22.0,22.5,-1.12,0.0
895065.0,-0.19,-0.09,-0.19,22.0,22.5,-5.6,0.0
895090.0,-0.19,-0.09,-0.19,22.0,22.5,-3.36,0.0
895115.0,-0.19,-0.19,-0.09,22.0,22.5,-3.36,0.0
895140.0,-0.19,-0.09,0.65,22.0,22.5,0.0,0.0
895165.0,0.19,0.0,-0.19,22.5,23.0,-3.36,0.0
895190.0,0.0,-0.19,-0.28,22.5,23.0,-1.12,0.0
895215.0,-0.09,0.19,-0.19,22.5,23.0,-1.12,0.0
895240.0,-0.28,-0.19,0.0,22.5,23.0,-2.24,0.0
895265.0,-0.19,0.37,-0.28,22.5,23.0,-1.12,0.0
895290.0,-0.19,-0.19,-0.28,22.5,23.0,-3.36,0.0
895315.0,0.19,-0.19,-0.19,22.5,23.0,0.0,0.0
895340.0,0.19,-0.19,0.09,22.5,23.0,-1.12,0.0
895365.0,-0.09,-0.19,-0.19,22.5,23.0,-3.36,0.0
895390.0,-0.19,-0.09,-0.19,22.5,23.0,-1.12,0.0
895415.0,-0.19,-0.28,-0.28,22.5,22.5,-2.24,0.0
895440.0,-0.19,0.19,-0.09,22.5,22.5,-8.96,0.0
895465.0,-0.28,-0.19,0.65,22.5,22.5,-5.6,0.0
