time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
4372.0,-0.19,0.0,0.19,25.25,26.5,-2.24,0.0
4397.0,0.0,-0.09,-0.19,25.25,26.5,-1.12,0.0
4422.0,0.0,0.19,-0.19,25.25,26.5,-1.12,0.0
4447.0,-0.09,-0.19,-0.09,25.25,26.5,2.24,0.0
4472.0,-0.09,0.28,0.09,25.25,26.5,2.24,0.0
4497.0,-0.09,0.0,0.09,25.25,26.5,0.0,0.0
4522.0,-0.19,-0.09,-0.09,25.25,26.5,-2.24,0.0
4547.0,0.65,-0.09,-0.09,25.25,26.5,-1.12,0.0
4572.0,0.09,-0.19,0.0,25.0,26.5,-1.12,0.0
4597.0,-0.09,0.0,0.56,25.0,26.5,1.12,0.0
4622.0,-0.19,-0.09,-0.09,25.0,26.5,1.12,0.0
4647.0,-0.19,0.19,-0.09,25.0,26.5,-2.24,0.0
4672.0,-0.19,-0.09,-0.09,25.0,26.5,-1.12,0.0
4697.0,-0.19,0.56,0.19,25.0,26.5,-4.48,0.0
4722.0,0.19,-0.09,-0.19,25.0,26.5,-2.24,0.0
4747.0,0.0,-0.19,-0.19,25.0,26.5,-1.12,0.0
4772.0,-0.19,-0.09,-0.09,25.0,26.5,-1.12,0.0
4797.0,-0.19,-0.09,0.19,25.0,26.5,-1.12,0.0
4822.0,-0.19,0.0,-0.19,25.25,26.5,2.24,0.0
4847.0,-0.19,-0.09,-0.09,25.25,26.5,-2.24,0.0
4872.0,0.37,0.09,-0.19,25.25,26.5,-1.12,0.0
4897.0,0.09,-0.09,0.0,25.25,26.5,-2.24,0.0
4922.0,-0.09,0.74,0.65,25.25,26.5,-2.24,0.0
4947.0,-0.09,-0.09,-0.09,25.25,26.5,2.24,0.0
4972.0,-0.19,-0.19,-0.09,25.25,26.5,-1.12,0.0
4997.0,-0.19,-0.09,0.0,25.25,26.5,-2.24,0.0
5022.0,-0.19,-0.09,0.28,25.25,26.5,-1.12,0.0
5047.0,0.37,0.0,-0.09,25.25,26.5,1.12,0.0
5072.0,0.09,-0.09,-0.09,24.75,26.5,-1.12,0.0
5097.0,-0.09,0.09,-0.09,24.75,26.5,-2.24,0.0
5122.0,-0.09,-0.09,0.28,24.75,26.5,-1.12,0.0
5147.0,-0.19,0.56,-0.19,24.75,26.5,-2.24,0.0
5172.0,-0.28,-0.09,-0.09,24.75,26.5,-3.36,0.0
5197.0,0.0,-0.09,-0.09,24.75,26.5,1.12,0.0
5222.0,0.0,0.0,0.09,24.75,26.5,-2.24,0.0
5247.0,-0.09,-0.09,-0.09,24.75,26.5,1.12,0.0
5272.0,-0.19,0.09,-0.09,24.75,26.5,-1.12,0.0
5297.0,-0.19,-0.09,-0.09,24.75,26.5,-1.12,0.0
5322.0,-0.19,0.09,0.0,24.75,27.0,-1.12,0.0
5347.0,-0.28,-0.09,0.56,24.75,27.0,-1.12,0.0
5372.0,0.56,0.19,-0.19,24.75,27.0,-1.12,0.0
5397.0,0.09,-0.09,0.0,24.75,27.0,-2.24,0.0
5422.0,-0.09,-0.19,0.0,24.75,27.0,-2.24,0.0
5447.0,-0.19,0.0,0.09,24.75,27.0,0.0,0.0
5472.0,-0.19,-0.09,-0.09,24.75,27.0,-1.12,0.0
5497.0,-0.19,0.09,-0.09,24.75,27.0,0.0,0.0
5522.0,-0.09,-0.09,-0.09,24.75,27.0,-2.24,0.0
5547.0,0.0,0.37,0.19,24.75,27.0,-2.24,0.0
5572.0,0.0,-0.09,-0.19,24.75,26.5,-2.24,0.0
5597.0,-0.09,-0.09,-0.09,24.75,26.5,1.12,0.0
5622.0,-0.19,0.0,-0.09,24.75,26.5,-1.12,0.0
5647.0,-0.19,-0.09,0.0,24.75,26.5,1.12,0.0
5672.0,-0.19,0.0,0.28,24.75,26.5,-1.12,0.0
5697.0,0.65,-0.09,-0.09,24.75,26.5,1.12,0.0
5722.0,0.09,0.19,-0.09,24.75,26.5,-2.24,0.0
5747.0,0.0,-0.09,0.0,24.75,26.5,-2.24,0.0
5772.0,-0.09,0.56,0.46,24.75,26.5,1.12,0.0
5797.0,-0.09,-0.09,-0.19,24.75,26.5,-3.36,0.0
5822.0,-0.28,-0.19,-0.09,25.0,26.25,-2.24,0.0
5847.0,-0.28,-0.09,0.0,25.0,26.25,-2.24,0.0
5872.0,0.19,-0.28,0.19,25.0,26.25,1.12,0.0
5897.0,0.0,0.0,-0.19,25.0,26.25,-2.24,0.0
5922.0,-0.09,-0.09,-0.09,25.0,26.25,4.48,0.0
5947.0,-0.09,0.09,-0.09,25.0,26.25,-3.36,0.0
5972.0,-0.19,-0.19,0.09,25.0,26.25,-1.12,0.0
5997.0,-0.19,0.46,-0.09,25.0,26.25,0.0,0.0
6022.0,0.28,-0.09,-0.19,25.0,26.25,-1.12,0.0
6047.0,0.09,-0.19,-0.09,25.0,26.25,1.12,0.0
6072.0,-0.09,0.0,0.0,24.5,26.5,1.12,0.0
6097.0,-0.09,-0.09,0.56,24.5,26.5,-1.12,0.0
6122.0,-0.19,0.09,-0.19,24.5,26.5,-1.12,0.0
6147.0,-0.09,-0.09,-0.09,24.5,26.5,-1.12,0.0
6172.0,-0.19,0.09,0.0,24.5,26.5,-3.36,0.0
6197.0,0.37,-0.09,0.28,24.5,26.5,3.36,0.0
6222.0,0.09,0.09,-0.09,24.5,26.5,-2.24,0.0
6247.0,0.0,0.0,-0.09,24.5,26.5,-2.24,0.0
6272.0,-0.19,-0.09,0.0,24.5,26.5,-1.12,0.0
6297.0,-0.19,0.0,0.19,24.5,26.5,0.0,0.0
6322.0,-0.19,-0.19,-0.09,25.0,26.5,-2.24,0.0
6347.0,-0.09,0.19,-0.09,25.0,26.5,-2.24,0.0
6372.0,0.0,-0.19,-0.09,25.0,26.5,-1.12,0.0
6397.0,-0.09,0.28,0.0,25.0,26.5,-2.24,0.0
6422.0,-0.19,-0.09,0.09,25.0,26.5,-3.36,0.0
6447.0,-0.19,-0.09,-0.09,25.0,26.5,-1.12,0.0
6472.0,-0.19,-0.09,-0.09,25.0,26.5,0.0,0.0
6497.0,-0.19,-0.19,0.0,25.0,26.5,-1.12,0.0
6522.0,0.56,0.0,0.65,25.0,26.5,-2.24,0.0
6547.0,0.09,-0.09,-0.09,25.0,26.5,-3.36,0.0
6572.0,0.0,0.19,-0.09,25.25,26.5,-2.24,0.0
6597.0,-0.09,-0.09,0.0,25.25,26.5,-2.24,0.0
6622.0,-0.19,0.56,0.19,25.25,26.5,-3.36,0.0
6647.0,-0.19,-0.09,-0.19,25.25,26.5,-1.12,0.0
6672.0,-0.19,-0.09,-0.09,25.25,26.5,-1.12,0.0
6697.0,0.0,-0.09,-0.09,25.25,26.5,-1.12,0.0
6722.0,-0.09,-0.09,0.19,25.25,26.5,-2.24,0.0
6747.0,-0.09,0.0,-0.19,25.25,26.5,-1.12,0.0
6772.0,-0.19,-0.09,-0.19,25.25,26.5,-1.12,0.0
6797.0,-0.09,0.09,-0.09,25.25,26.5,-1.12,0.0
6822.0,-0.19,-0.09,0.09,25.0,26.5,-2.24,0.0
6847.0,0.56,0.65,0.56,25.0,26.5,-2.24,0.0
6872.0,0.0,-0.19,-0.09,25.0,26.5,-2.24,0.0
