time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
506718.0,3.61,3.61,-0.28,21.75,22.75,3.36,0.0
506743.0,3.71,3.71,-0.19,21.75,22.75,-3.36,0.0
506768.0,3.61,3.71,-0.19,21.75,22.75,-4.48,0.0
506793.0,3.71,3.71,-0.09,21.75,22.75,-2.24,0.0
506818.0,3.99,3.99,0.28,21.75,22.75,-4.48,0.0
506843.0,3.8,3.61,-0.28,21.5,22.25,-3.36,0.0
506868.0,3.71,4.08,-0.19,21.5,22.25,4.48,0.0
506893.0,3.71,3.71,0.0,21.5,22.25,-2.24,0.0
506918.0,3.71,3.61,0.09,21.5,22.25,-4.48,0.0
506943.0,3.61,3.8,-0.19,21.5,22.25,-3.36,0.0
506968.0,3.61,3.71,-0.19,21.5,22.25,4.48,0.0
506993.0,4.17,3.8,-0.19,21.5,22.25,-2.24,0.0
507018.0,3.8,3.71,0.19,21.5,22.25,-1.12,0.0
507043.0,3.8,3.99,-0.28,21.5,22.25,-2.24,0.0
507068.0,3.71,3.71,-0.19,21.5,22.25,-4.48,0.0
507093.0,3.61,4.26,-0.09,21.75,23.0,-3.36,0.0
507118.0,3.71,3.71,-0.09,21.75,23.0,-3.36,0.0
507143.0,4.08,3.71,0.56,21.75,23.0,-2.24,0.0
507168.0,3.8,3.71,-0.19,21.75,23.0,-3.36,0.0
507193.0,3.71,3.71,-0.19,21.75,23.0,-4.48,0.0
507218.0,3.61,3.8,-0.09,21.75,23.0,-4.48,0.0
507243.0,3.61,3.71,0.0,21.75,23.0,-2.24,0.0
507268.0,3.61,3.99,-0.19,21.75,23.0,-3.36,0.0
507293.0,3.71,3.71,-0.19,21.75,23.0,-2.24,0.0
507318.0,4.08,4.45,-0.19,21.75,23.0,-3.36,0.0
507343.0,3.8,3.71,0.19,21.75,22.5,-3.36,0.0
507368.0,3.71,3.71,-0.28,21.75,22.5,-4.48,0.0
507393.0,3.71,3.8,-0.19,21.75,22.5,-8.96,0.0
507418.0,3.71,3.71,-0.19,21.75,22.5,-2.24,0.0
507443.0,3.71,3.8,-0.09,21.75,22.5,1.12,0.0
