time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
375944.0,-0.09,0.09,-0.19,22.0,23.0,-1.12,0.0
375969.0,-0.19,-0.19,-0.09,22.0,23.0,-3.36,0.0
375994.0,-0.19,0.56,-0.09,22.0,23.0,-2.24,0.0
376019.0,-0.28,-0.19,0.19,22.0,23.0,1.12,0.0
376044.0,-0.19,-0.19,-0.28,22.0,23.0,-3.36,0.0
376069.0,0.46,-0.09,-0.19,22.0,23.0,-3.36,0.0
376094.0,0.09,-0.19,-0.19,22.0,23.0,-2.24,0.0
376119.0,-0.19,-0.09,0.0,22.0,23.0,2.24,0.0
376144.0,-0.09,-0.19,-0.19,22.25,22.75,-3.36,0.0
376169.0,-0.19,0.19,-0.19,22.25,22.75,-2.24,0.0
376194.0,-0.19,-0.19,-0.28,22.25,22.75,-4.48,0.0
376219.0,-0.19,0.65,0.0,22.25,22.75,-3.36,0.0
376244.0,0.0,-0.19,0.37,22.25,22.75,-1.12,0.0
376269.0,-0.09,-0.19,-0.28,22.25,22.75,-2.24,0.0
376294.0,-0.09,-0.19,-0.28,22.25,22.75,0.0,0.0
376319.0,-0.19,-0.19,-0.09,22.25,22.75,-2.24,0.0
376344.0,-0.19,-0.09,0.19,22.25,22.75,-2.24,0.0
376369.0,-0.28,-0.09,-0.19,22.25,22.75,-3.36,0.0
376394.0,0.65,0.09,-0.19,22.5,22.5,-4.48,0.0
376419.0,0.19,-0.09,-0.28,22.5,22.5,-2.24,0.0
376444.0,-0.09,0.46,-0.09,22.5,22.5,-1.12,0.0
376469.0,-0.09,-0.19,0.09,22.5,22.5,-4.48,0.0
376494.0,-0.28,-0.19,-0.28,22.5,22.5,-1.12,0.0
376519.0,-0.19,-0.09,-0.19,22.5,22.5,-4.48,0.0
376544.0,-0.28,-0.19,0.0,22.5,22.5,2.24,0.0
376569.0,0.09,-0.09,0.09,22.5,22.5,-3.36,0.0
376594.0,0.0,-0.19,-0.19,22.5,22.5,-5.6,0.0
376619.0,-0.09,0.19,-0.19,22.5,22.5,-3.36,0.0
376644.0,-0.19,-0.19,-0.09,22.5,23.25,-4.48,0.0
376669.0,-0.28,0.37,0.19,22.5,23.25,-2.24,0.0
376694.0,-0.19,-0.19,-0.28,22.5,23.25,-3.36,0.0
376719.0,0.37,-0.19,-0.28,22.5,23.25,-3.36,0.0
376744.0,0.09,-0.09,-0.28,22.5,23.25,0.0,0.0
376769.0,-0.09,-0.19,0.0,22.5,23.25,-1.12,0.0
376794.0,-0.19,-0.09,0.46,22.5,23.25,-3.36,0.0
376819.0,-0.19,-0.19,-0.19,22.5,23.25,-4.48,0.0
376844.0,-0.28,0.19,-0.19,22.5,23.25,-3.36,0.0
376869.0,-0.28,-0.19,-0.19,22.5,23.25,-3.36,0.0
376894.0,0.19,0.28,0.19,22.0,23.25,-2.24,0.0
376919.0,0.0,-0.19,-0.28,22.0,23.25,-5.6,0.0
376944.0,-0.09,-0.19,-0.19,22.0,23.25,-4.48,0.0
376969.0,-0.19,-0.19,-0.19,22.0,23.25,-1.12,0.0
376994.0,-0.19,-0.28,0.09,22.0,23.25,-4.48,0.0
377019.0,-0.19,0.0,-0.19,22.0,23.25,-2.24,0.0
377044.0,0.19,-0.28,-0.19,22.0,23.25,-3.36,0.0
377069.0,0.0,0.0,-0.19,22.0,23.25,-2.24,0.0
377094.0,0.0,-0.09,-0.09,22.0,23.25,-6.72,0.0
377119.0,-0.19,0.19,0.65,22.0,23.25,1.12,0.0
377144.0,-0.19,-0.28,-0.37,22.75,23.0,-3.36,0.0
377169.0,-0.19,0.09,-0.19,22.75,23.0,-3.36,0.0
377194.0,-0.28,-0.19,-0.09,22.75,23.0,-3.36,0.0
377219.0,0.46,-0.19,0.09,22.75,23.0,-5.6,0.0
377244.0,0.09,-0.19,-0.28,22.75,23.0,-2.24,0.0
377269.0,-0.19,-0.19,-0.28,22.75,23.0,-4.48,0.0
377294.0,-0.19,0.0,-0.19,22.75,23.0,-3.36,0.0
377319.0,-0.19,-0.09,0.0,22.75,23.0,-1.12,0.0
377344.0,-0.19,0.09,-0.19,22.75,23.0,-2.24,0.0
377369.0,-0.19,-0.09,-0.28,22.75,23.0,-2.24,0.0
377394.0,0.0,0.46,-0.19,22.75,23.0,-3.36,0.0
377419.0,-0.09,-0.09,-0.09,22.75,23.0,-3.36,0.0
377444.0,-0.19,-0.09,0.56,22.75,23.0,-3.36,0.0
