time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
17447.0,0.83,0.83,0.65,24.0,25.5,-1.12,0.0
17472.0,0.83,1.67,-0.19,24.0,25.5,0.0,0.0
17497.0,1.58,0.93,-0.09,24.0,25.5,0.0,0.0
17522.0,1.11,0.93,0.0,24.0,25.5,1.12,0.0
17547.0,0.93,0.93,0.19,24.0,25.5,-2.24,0.0
17572.0,0.83,0.93,-0.19,23.75,25.25,-1.12,0.0
17597.0,0.83,1.02,-0.09,23.75,25.25,0.0,0.0
17622.0,0.83,0.93,0.0,23.75,25.25,-2.24,0.0
17647.0,0.83,1.11,0.19,23.75,25.25,0.0,0.0
17672.0,1.2,0.93,-0.09,23.75,25.25,-2.24,0.0
17697.0,1.02,1.58,-0.09,23.75,25.25,-2.24,0.0
17722.0,0.83,1.02,-0.19,23.75,25.25,-2.24,0.0
17747.0,0.83,0.93,0.09,23.75,25.25,-1.12,0.0
17772.0,0.83,0.93,0.56,23.75,25.25,-2.24,0.0
17797.0,0.83,0.83,-0.09,23.75,25.25,1.12,0.0
17822.0,1.11,1.02,-0.09,24.0,25.5,-1.12,0.0
17847.0,1.11,0.93,0.0,24.0,25.5,-2.24,0.0
17872.0,0.93,1.11,0.19,24.0,25.5,-2.24,0.0
17897.0,0.83,0.83,-0.09,24.0,25.5,-1.12,0.0
17922.0,0.83,1.58,-0.09,24.0,25.5,-1.12,0.0
17947.0,0.93,0.93,-0.09,24.0,25.5,-2.24,0.0
17972.0,0.83,0.93,0.19,24.0,25.5,-2.24,0.0
17997.0,1.67,1.02,-0.19,24.0,25.5,-2.24,0.0
18022.0,1.2,0.83,-0.09,24.0,25.5,-3.36,0.0
18047.0,1.02,1.02,-0.19,24.0,25.5,-1.12,0.0
18072.0,0.93,0.93,0.0,23.75,25.5,-3.36,0.0
18097.0,0.83,1.11,0.74,23.75,25.5,-2.24,0.0
18122.0,0.83,0.93,-0.19,23.75,25.5,1.12,0.0
18147.0,0.83,1.39,-0.19,23.75,25.5,-1.12,0.0
18172.0,1.2,0.93,-0.09,23.75,25.5,-3.36,0.0
18197.0,1.02,0.93,0.09,23.75,25.5,-1.12,0.0
18222.0,0.93,1.02,-0.09,23.75,25.5,-2.24,0.0
18247.0,0.83,0.93,-0.19,23.75,25.5,-2.24,0.0
18272.0,0.83,1.11,-0.09,23.75,25.5,-1.12,0.0
18297.0,0.83,1.02,0.09,23.75,25.5,-6.72,0.0
18322.0,1.02,1.11,-0.19,23.75,25.0,-1.12,0.0
18347.0,1.02,0.93,-0.09,23.75,25.0,-2.24,0.0
18372.0,0.93,1.3,-0.09,23.75,25.0,0.0,0.0
18397.0,0.93,1.02,0.0,23.75,25.0,-1.12,0.0
18422.0,0.83,0.83,0.74,23.75,25.0,0.0,0.0
18447.0,0.83,1.02,-0.09,23.75,25.0,-3.36,0.0
18472.0,0.83,0.93,-0.09,23.75,25.0,0.0,0.0
18497.0,1.58,1.11,-0.09,23.75,25.0,-4.48,0.0
