time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
541114.0,5.28,5.1,-0.19,21.75,22.75,-3.36,0.0
541139.0,5.19,5.28,-0.09,21.5,22.75,2.24,0.0
541164.0,5.1,5.1,0.09,21.5,22.75,-1.12,0.0
541189.0,5.1,5.28,-0.19,21.5,22.75,1.12,0.0
541214.0,5.1,5.1,-0.19,21.5,22.75,-2.24,0.0
541239.0,5.1,5.28,-0.09,21.5,22.75,-2.24,0.0
541264.0,5.84,5.19,0.19,21.5,22.75,-3.36,0.0
541289.0,5.28,5.56,-0.19,21.5,22.75,-3.36,0.0
541314.0,5.19,5.1,-0.28,21.5,22.75,0.0,0.0
541339.0,5.1,5.1,-0.19,21.5,22.75,-4.48,0.0
541364.0,5.1,5.19,-0.09,21.5,22.75,-3.36,0.0
541389.0,5.1,5.19,0.65,21.5,22.25,-3.36,0.0
541414.0,5.28,5.28,-0.28,21.5,22.25,-4.48,0.0
541439.0,5.28,5.1,-0.19,21.5,22.25,-3.36,0.0
541464.0,5.19,5.47,-0.09,21.5,22.25,-4.48,0.0
541489.0,5.1,5.1,0.0,21.5,22.25,-2.24,0.0
541514.0,5.1,5.19,-0.28,21.5,22.25,-4.48,0.0
541539.0,5.1,5.1,-0.19,21.5,22.25,-3.36,0.0
541564.0,5.19,5.1,-0.19,21.5,22.25,-4.48,0.0
541589.0,5.47,5.19,0.09,21.5,22.25,-3.36,0.0
541614.0,5.28,5.19,-0.19,21.5,22.25,-2.24,0.0
541639.0,5.1,5.38,-0.28,21.5,22.25,-2.24,0.0
541664.0,5.1,5.0,-0.09,21.5,22.25,-3.36,0.0
541689.0,5.1,5.75,-0.09,21.5,22.25,-2.24,0.0
541714.0,5.1,5.19,0.65,21.5,22.25,1.12,0.0
541739.0,5.84,5.0,-0.28,21.5,22.25,-3.36,0.0
541764.0,5.38,5.19,-0.28,21.5,22.25,-3.36,0.0
541789.0,5.19,5.1,-0.09,21.5,22.25,-4.48,0.0
541814.0,5.1,5.28,0.0,21.5,22.25,-2.24,0.0
541839.0,5.19,5.19,-0.28,21.5,22.25,-3.36,0.0
541864.0,5.0,5.38,-0.19,21.5,22.25,-1.12,0.0
541889.0,5.1,5.1,-0.19,22.0,22.5,-4.48,0.0
