time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter,servo
30722.0,0.65,0.09,-0.19,23.25,24.5,-2.24,0.0
30747.0,0.28,0.09,-0.09,23.25,24.5,-3.36,0.0
30772.0,0.19,0.19,-0.09,23.25,24.5,-2.24,0.0
30797.0,0.09,0.09,0.56,23.25,24.5,-3.36,0.0
30822.0,0.09,0.19,-0.19,23.25,23.75,-1.12,0.0
30847.0,0.0,0.09,-0.19,23.25,23.75,-2.24,0.0
30872.0,0.0,0.37,-0.09,23.25,23.75,-2.24,0.0
30897.0,0.56,0.09,0.0,23.25,23.75,-2.24,0.0
30922.0,0.28,0.74,-0.28,23.25,23.75,-3.36,0.0
30947.0,0.19,0.09,-0.19,23.25,23.75,-4.48,0.0
30972.0,0.09,0.09,-0.09,23.25,23.75,-3.36,0.0
30997.0,0.09,0.19,0.09,23.25,23.75,0.0,0.0
31022.0,0.09,0.09,-0.28,23.25,23.75,3.36,0.0
31047.0,0.28,0.19,-0.19,23.25,23.75,-2.24,0.0
31072.0,0.28,0.0,-0.19,23.5,23.75,-1.12,0.0
31097.0,0.28,0.46,-0.09,23.5,23.75,-3.36,0.0
31122.0,0.09,0.19,0.74,23.5,23.75,-4.48,0.0
31147.0,0.09,0.83,-0.19,23.5,23.75,-2.24,0.0
31172.0,0.09,0.09,-0.19,23.5,23.75,-1.12,0.0
31197.0,0.09,0.09,-0.09,23.5,23.75,-3.36,0.0
31222.0,0.65,0.19,0.09,23.5,23.75,-3.36,0.0
31247.0,0.37,0.09,-0.19,23.5,23.75,-2.24,0.0
31272.0,0.19,0.19,-0.28,23.5,23.75,-4.48,0.0
31297.0,0.09,0.19,-0.19,23.5,23.75,-2.24,0.0
31322.0,0.0,0.37,0.19,23.25,24.0,-2.24,0.0
31347.0,0.0,0.19,-0.19,23.25,24.0,-2.24,0.0
31372.0,0.19,0.83,-0.19,23.25,24.0,0.0,0.0
31397.0,0.28,0.09,-0.19,23.25,24.0,-3.36,0.0
31422.0,0.19,0.09,0.0,23.25,24.0,-4.48,0.0
31447.0,0.09,0.19,0.65,23.25,24.0,0.0,0.0
31472.0,0.09,0.09,-0.19,23.25,24.0,-2.24,0.0
31497.0,0.09,0.28,-0.19,23.25,24.0,-3.36,0.0
31522.0,0.0,0.19,-0.09,23.25,24.0,-3.36,0.0
31547.0,0.74,0.37,0.09,23.25,24.0,0.0,0.0
31572.0,0.37,0.09,-0.09,23.5,23.75,-7.84,0.0
31597.0,0.19,0.93,-0.28,23.5,23.75,1.12,0.0
31622.0,0.09,0.19,-0.09,23.5,23.75,-3.36,0.0
31647.0,0.0,0.09,0.09,23.5,23.75,-2.24,0.0
31672.0,0.09,0.19,-0.19,23.5,23.75,-2.24,0.0
31697.0,0.09,0.09,-0.19,23.5,23.75,-2.24,0.0
31722.0,0.28,0.19,-0.09,23.5,23.75,-3.36,0.0
31747.0,0.19,0.0,-0.09,23.5,23.75,6.72,0.0
31772.0,0.09,0.37,0.46,23.5,23.75,-3.36,0.0
31797.0,0.0,0.09,-0.19,23.5,23.75,-3.36,0.0
31822.0,0.09,0.93,-0.19,23.5,24.25,-3.36,0.0
31847.0,0.09,0.19,-0.09,23.5,24.25,-2.24,0.0
31872.0,0.83,0.09,0.09,23.5,24.25,-2.24,0.0
31897.0,0.37,0.19,-0.19,23.5,24.25,0.0,0.0
31922.0,0.19,0.09,-0.19,23.5,24.25,-3.36,0.0
31947.0,0.09,0.19,-0.09,23.5,24.25,1.12,0.0
31972.0,0.09,0.09,0.19,23.5,24.25,-2.24,0.0
31997.0,0.09,0.37,-0.28,23.5,24.25,-3.36,0.0
32022.0,0.09,0.19,-0.19,23.5,24.25,-2.24,0.0
32047.0,0.28,0.83,-0.19,23.5,24.25,-1.12,0.0
32072.0,0.19,0.19,-0.09,23.25,23.75,-3.36,0.0
32097.0,0.09,0.09,0.65,23.25,23.75,-3.36,0.0
32122.0,0.09,0.09,-0.19,23.25,23.75,-2.24,0.0
32147.0,0.09,0.09,-0.19,23.25,23.75,-2.24,0.0
32172.0,0.0,0.28,-0.09,23.25,23.75,0.0,0.0
32197.0,0.83,0.09,0.19,23.25,23.75,-3.36,0.0
32222.0,0.37,0.37,-0.19,23.25,23.75,-2.24,0.0
32247.0,0.19,0.19,-0.19,23.25,23.75,-3.36,0.0
32272.0,0.09,0.83,-0.09,23.25,23.75,-3.36,0.0
32297.0,0.09,0.19,0.09,23.25,23.75,-3.36,0.0
